排名,品牌,车系,价格区间,当月销量,车型分类
1,方程豹,钛7,17.98-21.98万,1173383,方程豹系列
2,奥迪,奥迪A6L,29.10-41.36万,1171956,奥迪系列
3,特斯拉,Model Y,26.35-31.35万,1150048,特斯拉系列
4,吉利汽车,星越L,12.97-16.67万,1131039,吉利汽车系列
5,大众,迈腾,12.29-21.69万,1124360,大众系列
6,大众,速腾,9.49-13.19万,1109405,大众系列
7,小米汽车,小米YU7,25.35-32.99万,1104925,小米汽车系列
8,小米汽车,小米SU7,21.59-29.99万,1104146,小米汽车系列
9,奔驰,奔驰E级,32.18-49.58万,1101218,奔驰系列
10,奥迪,奥迪Q5L,24.49-38.18万,1098045,奥迪系列
11,本田,本田CR-V,13.79-20.19万,1089703,本田系列
12,宝马,宝马3系,22.66-31.99万,1078124,宝马系列
13,理想汽车,理想L9,40.98-42.98万,1073374,理想汽车系列
14,丰田,RAV4荣放,15.13-23.88万,1071452,丰田系列
15,丰田,凯美瑞,13.88-22.68万,1069031,丰田系列
16,大众,朗逸,7.10-11.29万,1067583,大众系列
17,大众,帕萨特,13.85-28.38万,1060833,大众系列
18,本田,雅阁,12.98-18.88万,1055850,本田系列
19,宝马,宝马5系,31.60-40.60万,1045587,宝马系列
20,大众,途观L,13.78-21.78万,1044520,大众系列
